epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.94476,1.37487,2.83189,1.67779,0.00381,1,0.4708,0.24632,1.09708,2.99558,1.73765,0.0001,0.0001,0.0001
2,4.67929,1.35686,2.84624,1.72254,0.00381,1,0.44853,0.2083,1.07066,3.06288,1.54826,0.000217822,0.000217822,0.000217822
3,6.36615,1.41741,2.71449,1.64214,0.00381,1,0.22111,0.12755,1.61617,3.1617,1.93728,0.000333268,0.000333268,0.000333268
4,8.03875,1.14696,2.28899,1.40799,0.00381,1,0.03015,0.01272,1.78952,3.44583,2.05483,0.000446338,0.000446338,0.000446338
5,9.76117,1.23126,2.16662,1.44975,0.00381,1,0.16406,0.10357,1.22912,3.01611,1.68677,0.000557032,0.000557032,0.000557032
6,11.4413,1.34299,2.0421,1.55645,0.00381,1,0.41735,0.17941,1.58602,3.08636,2.30562,0.00066535,0.00066535,0.00066535
7,13.1441,1.32657,2.08481,1.51278,0.00381,1,0.71024,0.33687,1.80475,3.0074,2.90695,0.000771292,0.000771292,0.000771292
8,14.8674,1.42996,2.00737,1.71674,0.74854,0.625,0.76263,0.36705,1.48373,2.63611,2.18351,0.000874858,0.000874858,0.000874858
9,16.3999,1.35975,1.91015,1.56863,0.55049,0.5,0.63287,0.24557,1.5232,2.85302,2.04137,0.000976048,0.000976048,0.000976048
10,18.0123,1.31032,1.88349,1.55665,0.73662,0.75,0.77026,0.38172,1.42417,2.2844,2.02568,0.00107486,0.00107486,0.00107486
11,19.6201,1.26882,1.74606,1.49977,0.81969,0.625,0.77886,0.37646,1.32937,2.25481,2.02623,0.0011713,0.0011713,0.0011713
12,21.2012,1.33555,2.02754,1.52358,0.5087,0.5,0.38216,0.16444,1.48776,2.66343,2.07049,0.00126536,0.00126536,0.00126536
13,22.7881,1.1934,1.69089,1.47205,0.29791,0.5,0.19425,0.08114,2.12157,3.20118,2.58448,0.00135705,0.00135705,0.00135705
14,24.2422,1.36301,1.85733,1.63297,0.8088,0.25,0.34207,0.16198,2.06553,3.55036,2.49586,0.00144636,0.00144636,0.00144636
15,25.8247,1.25703,1.80382,1.48941,0.8088,0.25,0.34207,0.16198,2.06553,3.55036,2.49586,0.00153329,0.00153329,0.00153329
16,27.2871,1.34849,1.79839,1.5666,0.72093,0.375,0.39336,0.12307,2.92281,3.21399,3.36983,0.00161785,0.00161785,0.00161785
17,28.823,1.37499,1.83692,1.54836,0.46396,0.25,0.14248,0.07767,2.38756,3.48154,2.70891,0.0016832,0.0016832,0.0016832
18,30.3626,1.27105,1.8078,1.52165,0.26463,0.375,0.23988,0.09262,2.19835,2.99021,2.69575,0.0016634,0.0016634,0.0016634
19,31.8472,1.30513,1.66597,1.56161,0.26463,0.375,0.23988,0.09262,2.19835,2.99021,2.69575,0.0016436,0.0016436,0.0016436
20,33.432,1.45546,1.84487,1.6799,0.64763,0.625,0.7578,0.34448,1.72843,2.91776,2.29889,0.0016238,0.0016238,0.0016238
21,34.9589,1.35449,1.79652,1.55328,0.95187,0.5,0.69852,0.30555,1.83738,3.36126,2.46325,0.001604,0.001604,0.001604
22,36.5044,1.33898,1.60832,1.54595,0.52909,0.75,0.63326,0.22818,2.02638,4.74734,2.89629,0.0015842,0.0015842,0.0015842
23,38.0092,1.30688,1.59249,1.45161,0.52909,0.75,0.63326,0.22818,2.02638,4.74734,2.89629,0.0015644,0.0015644,0.0015644
24,39.571,1.23867,1.54307,1.38643,0.71537,0.75,0.64942,0.30214,1.90658,3.38314,2.82504,0.0015446,0.0015446,0.0015446
25,41.3337,1.3408,1.68365,1.48026,0.7411,0.71886,0.7274,0.40025,1.51845,2.53737,1.98358,0.0015248,0.0015248,0.0015248
26,42.8803,1.26801,1.54695,1.48773,1,0.79579,0.955,0.54518,1.44824,2.6207,1.96624,0.001505,0.001505,0.001505
27,44.3943,1.15936,1.54002,1.47632,1,0.79579,0.955,0.54518,1.44824,2.6207,1.96624,0.0014852,0.0014852,0.0014852
28,45.9217,1.24651,1.56898,1.53241,0.58994,0.625,0.67919,0.4124,1.36651,2.56998,1.92596,0.0014654,0.0014654,0.0014654
29,47.4315,1.21602,1.56282,1.46501,0.82055,0.57706,0.72442,0.34166,1.34737,4.01546,1.90698,0.0014456,0.0014456,0.0014456
30,48.9823,1.2559,1.61773,1.46139,0.46917,0.75,0.55418,0.26471,1.47365,4.6918,1.83915,0.0014258,0.0014258,0.0014258
31,50.4862,1.18928,1.50496,1.47866,0.46917,0.75,0.55418,0.26471,1.47365,4.6918,1.83915,0.001406,0.001406,0.001406
32,52.0317,1.19221,1.44841,1.3934,0.94726,0.625,0.83643,0.5236,1.37229,3.55945,1.76242,0.0013862,0.0013862,0.0013862
33,53.7048,1.23948,1.38698,1.44665,0.89372,0.625,0.80871,0.51355,1.33376,2.44735,1.67859,0.0013664,0.0013664,0.0013664
34,55.2873,1.22588,1.39866,1.40405,0.59575,0.75,0.72753,0.46622,1.29096,2.13365,1.70242,0.0013466,0.0013466,0.0013466
35,56.8155,1.12909,1.3278,1.33998,0.59575,0.75,0.72753,0.46622,1.29096,2.13365,1.70242,0.0013268,0.0013268,0.0013268
36,58.3825,1.21722,1.33832,1.35244,0.652,0.875,0.73457,0.41872,1.36551,2.12344,1.66302,0.001307,0.001307,0.001307
37,59.8816,1.0895,1.34604,1.37901,0.6365,0.75,0.65007,0.3822,1.31614,1.96743,1.64643,0.0012872,0.0012872,0.0012872
38,61.4104,1.13109,1.38635,1.39932,0.85535,0.74057,0.88743,0.53628,1.17126,1.88808,1.59086,0.0012674,0.0012674,0.0012674
39,62.9161,1.12476,1.38353,1.38404,0.85535,0.74057,0.88743,0.53628,1.17126,1.88808,1.59086,0.0012476,0.0012476,0.0012476
40,64.4591,1.0941,1.26994,1.35651,0.86235,0.875,0.8701,0.52089,1.28556,1.92494,1.76477,0.0012278,0.0012278,0.0012278
41,66.0132,1.09598,1.3178,1.29955,0.70042,0.5,0.54884,0.31501,1.6047,2.76281,1.96009,0.001208,0.001208,0.001208
42,67.7412,1.02882,1.37814,1.34188,0.36823,0.75,0.50082,0.3217,1.47204,2.95023,1.86958,0.0011882,0.0011882,0.0011882
43,69.2331,1.11859,1.4217,1.41218,0.36823,0.75,0.50082,0.3217,1.47204,2.95023,1.86958,0.0011684,0.0011684,0.0011684
44,70.7627,1.127,1.30791,1.32918,0.73937,0.71281,0.80453,0.58384,1.22249,2.40148,1.71609,0.0011486,0.0011486,0.0011486
45,72.2456,0.99138,1.17846,1.28768,1,0.97324,0.995,0.72837,1.12877,1.88049,1.57632,0.0011288,0.0011288,0.0011288
46,73.7914,1.09893,1.20838,1.29259,0.75923,0.875,0.89297,0.64159,1.10732,1.90175,1.51755,0.001109,0.001109,0.001109
47,75.3019,1.12249,1.25901,1.41652,0.75923,0.875,0.89297,0.64159,1.10732,1.90175,1.51755,0.0010892,0.0010892,0.0010892
48,76.8608,1.04664,1.09182,1.28501,0.74393,0.875,0.90281,0.66793,1.17329,1.78251,1.60943,0.0010694,0.0010694,0.0010694
49,78.435,1.09507,1.27221,1.33935,0.83409,0.875,0.89304,0.63411,1.22613,1.69056,1.67942,0.0010496,0.0010496,0.0010496
50,79.9563,0.92309,1.06953,1.25733,0.85221,0.875,0.85504,0.63067,1.22734,1.57751,1.71507,0.0010298,0.0010298,0.0010298
51,81.6632,0.96653,1.16031,1.26542,0.85221,0.875,0.85504,0.63067,1.22734,1.57751,1.71507,0.00101,0.00101,0.00101
52,83.2332,1.1007,1.25738,1.36806,0.96384,0.75,0.82911,0.59326,1.16398,1.51372,1.59984,0.0009902,0.0009902,0.0009902
53,84.7642,0.99341,1.11124,1.26732,0.9922,0.75,0.86126,0.57071,1.1702,1.43411,1.56538,0.0009704,0.0009704,0.0009704
54,86.3105,1.00817,1.0455,1.2469,0.87111,0.84779,0.88549,0.56583,1.15735,1.43194,1.6152,0.0009506,0.0009506,0.0009506
55,87.8354,1.02347,1.13531,1.25237,0.87111,0.84779,0.88549,0.56583,1.15735,1.43194,1.6152,0.0009308,0.0009308,0.0009308
56,89.3849,1.02995,1.07464,1.28097,0.76648,0.875,0.88544,0.62042,1.06499,1.24258,1.56966,0.000911,0.000911,0.000911
57,90.9048,0.95124,1.04013,1.23446,0.87109,0.84764,0.90022,0.64847,1.03794,1.18003,1.49771,0.0008912,0.0008912,0.0008912
58,92.4232,0.99163,1.08617,1.28519,1,0.7439,0.85394,0.60285,1.08981,1.23292,1.54013,0.0008714,0.0008714,0.0008714
59,94.1027,0.90425,1.05831,1.2102,1,0.7439,0.85394,0.60285,1.08981,1.23292,1.54013,0.0008516,0.0008516,0.0008516
60,95.7077,1.04786,1.1915,1.28226,1,0.7394,0.80577,0.57381,1.0844,1.18504,1.49289,0.0008318,0.0008318,0.0008318
